[ leeksLazyLogger by Eartharoid ] Log File (04/07/2019) -->
[INFO | 1:11:01] 1: Attempting to load the event 'message'
[INFO | 1:11:01] 2: Attempting to load the event 'ready'
[INFO | 1:11:01] 3: Attempting to load the command 'admin.js'
[INFO | 1:11:01] 4: Attempting to load the command 'announce.js'
[INFO | 1:11:01] 5: Attempting to load the command 'commission.js'
[INFO | 1:11:01] 6: Attempting to load the command 'ping.js'
[INFO | 1:11:01] Successfully loaded all commands.
[INFO | 1:11:01] 5 Users Online
[INFO | 1:11:01] 1 Guilds
