[ leeksLazyLogger by Eartharoid ] Log File (04/07/2019) -->
[INFO | 1:12:08] 1: Attempting to load the event 'message'
[INFO | 1:12:08] 2: Attempting to load the event 'ready'
[INFO | 1:12:08] 3: Attempting to load the command 'admin.js'
[INFO | 1:12:08] 4: Attempting to load the command 'announce.js'
[INFO | 1:12:08] 5: Attempting to load the command 'commission.js'
[INFO | 1:12:08] 6: Attempting to load the command 'ping.js'
[INFO | 1:12:08] Successfully loaded all commands.
[INFO | 1:12:08] 5 Users Online
[INFO | 1:12:08] 1 Guilds
