[ leeksLazyLogger by Eartharoid ] Log File (06/07/2019) -->
[INFO | 23:56:08] 1: Attempting to load the event 'message'
[INFO | 23:56:08] 2: Attempting to load the event 'ready'
[INFO | 23:56:08] 3: Attempting to load the command 'admin.js'
[INFO | 23:56:08] 4: Attempting to load the command 'announce.js'
[INFO | 23:56:08] 5: Attempting to load the command 'commission.js'
[INFO | 23:56:08] 6: Attempting to load the command 'ping.js'
[INFO | 23:56:08] Successfully loaded all commands.
[INFO | 23:56:08] 6 Users Online
[INFO | 23:56:08] 1 Guilds
